1,1,-50.00,-49.00,-50.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-45.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-40.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-35.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-30.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-25.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-20.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-15.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-10.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-5.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,-0.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,5.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,10.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,15.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,20.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,25.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,30.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,35.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,40.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,45.00,0.00,-90.00,0.00
1,1,-50.00,-49.00,50.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-50.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-45.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-40.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-35.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-30.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-25.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-20.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-15.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-10.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-5.00,0.00,-90.00,0.00
1,2,-50.00,1.00,-0.00,0.00,-90.00,0.00
1,2,-50.00,1.00,5.00,0.00,-90.00,0.00
1,2,-50.00,1.00,10.00,0.00,-90.00,0.00
1,2,-50.00,1.00,15.00,0.00,-90.00,0.00
1,2,-50.00,1.00,20.00,0.00,-90.00,0.00
1,2,-50.00,1.00,25.00,0.00,-90.00,0.00
1,2,-50.00,1.00,30.00,0.00,-90.00,0.00
1,2,-50.00,1.00,35.00,0.00,-90.00,0.00
1,2,-50.00,1.00,40.00,0.00,-90.00,0.00
1,2,-50.00,1.00,45.00,0.00,-90.00,0.00
